title,salary
Химич,"2,100,000 - 2,500,000"
"ХУДАЛДАГЧ,КАСС / ЗАЙСАН САЛБАРТ/","1,500,000 - 1,800,000"
НЯГТЛАН БОДОГЧ,"2,100,000 - 2,500,000"
ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ-ЖОЛООЧ,"2,100,000 - 2,500,000"
Борлуулалтын ажилтан - (Салбар),"2,100,000 - 2,500,000"
Механикч,"2,500,000 - 3,000,000"
ГААЛИЙН БҮРТГЭЛИЙН МЭРГЭЖИЛТЭН,"2,100,000 - 2,500,000"
ХАРИЛЦААНЫ МЕНЕЖЕР /Яармаг вип салбар/,"2,100,000 - 2,500,000"
Худалдааны төлөөлөгч,"3,000,000 - 4,000,000"
Үл хөдлөх хөрөнгө зуучлал / Агент,"1,800,000 - 2,100,000"
ГАДААД ХАРИЛЦААНЫ МЭРГЭЖИЛТЭН / ХЯТАД ХЭЛТЭЙ,"2,500,000 - 3,000,000"
АВТОГРЕЙДЕРИЙН ОПЕРАТОР/ Шарын гол,"2,500,000 - 3,000,000"
Туслах менежер,"1,500,000 - 1,800,000"
БУЛЬДОЗЕРИЙН ОПЕРАТОР /Шарын гол,"2,500,000 - 3,000,000"
ДАМПЫН ОПЕРАТОР /ШАРЫН ГОЛ,"2,500,000 - 3,000,000"
КЕМП МЕНЕЖЕР /Шарын гол/,"2,100,000 - 2,500,000"
ГАГНУУРЧИН /ШАРЫН ГОЛ/,"2,100,000 - 2,500,000"
АВТО КРАНИСТ /шарын гол алтны шороон орд/,"1,800,000 - 2,100,000"
Супервайзор,"2,100,000 - 2,500,000"
Хүний нөөцийн ажилтан,"1,800,000 - 2,100,000"
ХУДАЛДААНЫ ЗӨВЛӨХ,"1,800,000 - 2,100,000"
"Автоматик, Сүлжээ , Холбоо тус тус инженер","2,100,000 - 2,500,000"
"""Борлуулалтын менежер""","1,500,000 - 1,800,000"
ТЕХНОЛОГИЙН АЖИЛТАН,"2,100,000 - 2,500,000"
СУВИЛАГЧ,"1,500,000 - 1,800,000"
САНТЕХНИКЧ,"2,100,000 - 2,500,000"
ГУРИЛЫН ҮЙЛДВЭРИЙН ТЭЭРЭМЧИН,"2,100,000 - 2,500,000"
ГАДААД ХАРИЛЦААНЫ МЕНЕЖЕР / ХЯТАД ХЭЛТЭЙ/,"4,000,000 - 5,000,000"
Тавилгын дизайнер,"2,500,000 - 3,000,000"
Мужааны туслах,"1,800,000 - 2,100,000"
Видео графикч,"2,500,000 - 3,000,000"
УУЛЫН МАСТЕРЫН ТУСЛАХ,"2,100,000 - 2,500,000"
УУЛЫН СУПЕРВАЙЗЕР / MINE SUPERVISOR,"4,000,000 - 5,000,000"
БУЛЬДОЗЕРЫН ОПЕРАТОР 14/14,"2,500,000 - 3,000,000"
(Үл хөдлөх хөрөнгө зуучлалын компанид) агент,"7,000,000 - 8,000,000"
ТҮЛШНИЙ НЯРАВ /шарын гол/,"1,800,000 - 2,100,000"
ЦЭВЭРЛЭГЭЭ ҮЙЛЧИЛГЭЭНИЙ АХЛАХ АЖИЛТАН (Оюутолгой т,"1,800,000 - 2,100,000"
ХАБЭА-н инженер,"2,500,000 - 3,000,000"
ХӨРГӨЛТИЙН ИНЖЕНЕР,"2,100,000 - 2,500,000"
НЯГТЛАН БОДОГЧ,"3,000,000 - 4,000,000"
МАРКЕТИНГИЙН МЕНЕЖЕР,"2,100,000 - 2,500,000"
ПОНЫ ЖОЛООЧ,"1,800,000 - 2,100,000"
Захиалгын оператор,"1,500,000 - 1,800,000"
АВТЫН ЗАСВАРЧИН,"2,100,000 - 2,500,000"
САНТЕХНИКИЙН ИНЖЕНЕР,"2,500,000 - 3,000,000"
БОРЛУУЛАГЧ /шууд борлуулалт/,"2,500,000 - 3,000,000"
"ЭРҮҮЛ АХУЙЧ, ЭМЧ","2,100,000 - 2,500,000"
Дизайнер,"2,500,000 - 3,000,000"
Үйлдвэрийн оператор,"2,100,000 - 2,500,000"
КАСС /үндсэн/,"1,200,000 - 1,500,000"
Гадаад худалдааны менежер /Хятад хэлтэй/,"3,000,000 - 4,000,000"
ҮЙЛ АЖИЛЛАГААНЫ МЕНЕЖЕР,"2,100,000 - 2,500,000"
НЯГТЛАН БОДОГЧ (ФРАНЧАЙЗ КОФЕ ШОП 1 САЛБАРТ) эмэгт,"2,500,000 - 3,000,000"
АГУУЛАХЫН НЯРАВ,"1,800,000 - 2,100,000"
ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ /ЗАХ БӨӨНИЙ СУВАГ/,"2,100,000 - 2,500,000"
Аэробикын багш яаралтай сургаж авна,"30,000 /цагийн/"
НЯГТЛАН БОДОГЧ /ТАВИЛГЫН ХУДАЛДАА/,"3,000,000 - 4,000,000"
ТҮГЭЭГЧ /В ангилалтай/,"2,100,000 - 2,500,000"
ХУДАЛДАГЧ /БАРС- 1/,"1,500,000 - 1,800,000"
МАРКЕТИНГИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000"
ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ /эрэгтэй/,"2,100,000 - 2,500,000"
ӨРМИЙН МАСТЕР,"4,000,000 - 5,000,000"
АВТО ГРЕЙДЕРИЙН ОПЕРАТОР,"3,000,000 - 4,000,000"
ДАМПЫН ОПЕРАТОР 14/14,"2,500,000 - 3,000,000"
"ХЯНАЛТЫН МЭРГЭЖИЛТЭН /Техник, Баталгаат засвар/","3,000,000 - 4,000,000"
"Токарьчин, засварчин","2,100,000 - 2,500,000"
"Моторчин, засварчин","2,500,000 - 3,000,000"
"Автын цахилгаанчин, засварчин","2,100,000 - 2,500,000"
Автын механик,"2,500,000 - 3,000,000"
Хүнд машин механизмын засварчин,"2,100,000 - 2,500,000"
