Block Name,Blast Resistance,Hardness,Mining Tool,Can Suffocate,Obeys Gravity,Flammable,Catches Fire From Lava,Can Change Block State,Keywords
Cobblestone Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"cobblestone, rock, solid, gray, block, slab"
Cobblstone Stairs,6.0,2.0,Pickaxe,False,False,False,False,True,"rock, solid, gray, stairs, block, cobblstone"
Cobblestone Wall,6.0,2.0,Pickaxe,False,False,False,False,True,"cobblestone, rock, solid, gray, wall, block"
Infested Cobblestone,0.75,1.0,Pickaxe,True,False,False,False,False,"cobblestone, rock, solid, infested, gray, block"
Mossy Cobblestone,6.0,2.0,Pickaxe,True,False,False,False,False,"cobblestone, rock, solid, gray, block, mossy"
Mossy Cobblestone Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"cobblestone, rock, solid, gray, block, slab, mossy"
Mossy Cobblestone Stairs,6.0,2.0,Pickaxe,False,False,False,False,True,"cobblestone, rock, solid, gray, stairs, block, mossy"
Mossy Cobblestone Wall,6.0,2.0,Pickaxe,False,False,False,False,True,"cobblestone, rock, solid, gray, wall, block, mossy"
Stone,6.0,1.5,Pickaxe,True,False,False,False,False,"rock, solid, gray, block, stone"
Stone Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"rock, solid, gray, block, slab, stone"
Stone Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"rock, solid, gray, stairs, block, stone"
Infested Stone,0.75,0.75,Pickaxe,True,False,False,False,False,"rock, solid, infested, gray, block, stone"
Smooth Stone,6.0,2.0,Pickaxe,True,False,False,False,False,"smooth, rock, solid, gray, block, stone"
Smooth Stone Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"smooth, rock, solid, gray, block, slab, stone"
Stone Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"bricks, rock, solid, gray, block, stone"
Stone Brick Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"rock, solid, gray, block, brick, slab, stone"
Stone Brick Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"rock, solid, gray, stairs, block, brick, stone"
Stone Brick Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"rock, solid, gray, wall, block, brick, stone"
Infested Stone Bricks,0.75,0.75,Pickaxe,True,False,False,False,False,"bricks, rock, infested, solid, gray, block, stone"
Cracked Stone Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"bricks, rock, solid, cracked, gray, block, stone"
Infested Cracked Stone Bricks,0.75,0.75,Pickaxe,True,False,False,False,False,"bricks, rock, infested, solid, cracked, gray, block, stone"
Chiseled Stone Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"bricks, rock, solid, gray, block, chiseled, stone"
Infested Chiseled Stone Bricks,0.75,0.75,Pickaxe,True,False,False,False,False,"bricks, rock, infested, solid, gray, block, chiseled, stone"
Mossy Stone Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"bricks, rock, solid, gray, block, stone, mossy"
Mossy Stone Brick Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"rock, solid, gray, block, brick, slab, stone, mossy"
Mossy Stone Brick Stair,6.0,1.5,Pickaxe,False,False,False,False,True,"stair, rock, solid, gray, block, brick, stone, mossy"
Mossy Stone Brick Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"rock, solid, gray, wall, block, brick, stone, mossy"
Infested Mossy Stone Bricks,0.75,0.75,Pickaxe,True,False,False,False,False,"bricks, rock, infested, solid, gray, block, stone, mossy"
Stone Pressure Plate,0.5,0.5,Pickaxe,False,False,False,False,True,"rock, solid, gray, pressure, block, plate, stone"
Stone Button,0.5,0.5,Pickaxe,False,False,False,False,True,"rock, solid, gray, block, button, stone"
Deepslate,6.0,3.0,Pickaxe,True,False,False,False,True,deepslate
Infested Deepslate,0.75,1.5,Pickaxe,True,False,False,False,True,"infested, deepslate"
Cobbled Deepslate,6.0,3.5,Pickaxe,True,False,False,False,False,"deepslate, cobbled"
Cobbled Deepslate Slab,6.0,3.5,Pickaxe,True,False,False,False,True,"deepslate, cobbled, slab"
Cobbled Deepslate Stairs,6.0,3.5,Pickaxe,False,False,False,False,True,"stairs, deepslate, cobbled"
Cobbled Deepslate Wall,6.0,3.5,Pickaxe,False,False,False,False,True,"deepslate, cobbled, wall"
Polished Deepslate,6.0,3.5,Pickaxe,True,False,False,False,False,"polished, deepslate"
Polished Deepslate Slab,6.0,3.5,Pickaxe,True,False,False,False,True,"polished, deepslate, slab"
Polished Deepslate Stairs,6.0,3.5,Pickaxe,False,False,False,False,True,"stairs, polished, deepslate"
Polished Deepslate Wall,6.0,3.5,Pickaxe,False,False,False,False,True,"polished, deepslate, wall"
Deepslate Bricks,6.0,3.5,Pickaxe,True,False,False,False,False,"deepslate, bricks"
Deepslate Brick Slab,6.0,3.5,Pickaxe,True,False,False,False,True,"deepslate, brick, slab"
Deepslate Brick Stairs,6.0,3.5,Pickaxe,False,False,False,False,True,"stairs, deepslate, brick"
Deepslate Brick Wall,6.0,3.5,Pickaxe,False,False,False,False,True,"deepslate, brick, wall"
Cracked Deepslate Bricks,6.0,3.5,Pickaxe,True,False,False,False,False,"bricks, deepslate, cracked"
Deepslate Tiles,6.0,3.5,Pickaxe,True,False,False,False,False,"tiles, deepslate"
Deepslate Tile Slab,6.0,3.5,Pickaxe,True,False,False,False,True,"deepslate, tile, slab"
Deepslate Tile Stairs,6.0,3.5,Pickaxe,False,False,False,False,True,"stairs, deepslate, tile"
Deepslate Tile Wall,6.0,3.5,Pickaxe,False,False,False,False,True,"deepslate, tile, wall"
Cracked Deepslate Tiles,6.0,3.5,Pickaxe,True,False,False,False,False,"tiles, deepslate, cracked"
Chiseled Deepslate,6.0,3.5,Pickaxe,True,False,False,False,False,"deepslate, chiseled"
Reinforced Deepslate,1200.0,55.0,Pickaxe,True,False,False,False,False,"deepslate, reinforced"
Diorite,6.0,1.5,Pickaxe,True,False,False,False,False,diorite
Diorite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"diorite, slab"
Diorite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"diorite, stairs"
Diorite Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"diorite, wall"
Polished Diorite,6.0,1.5,Pickaxe,True,False,False,False,False,"diorite, polished"
Polished Diorite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"diorite, polished, slab"
Polished Diorite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"diorite, polished, stairs"
Andesite,6.0,1.5,Pickaxe,True,False,False,False,False,andesite
Andesite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"andesite, slab"
Andesite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"stairs, andesite"
Andesite Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"andesite, wall"
Polished Andesite,6.0,1.5,Pickaxe,True,False,False,False,False,"polished, andesite"
Polished Andesite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"polished, andesite, slab"
Polished Andesite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"polished, stairs, andesite"
Granite,6.0,1.5,Pickaxe,True,False,False,False,False,granite
Granite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"granite, slab"
Granite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"stairs, granite"
Granite Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"granite, wall"
Polished Granite,6.0,1.5,Pickaxe,True,False,False,False,False,"polished, granite"
Polished Granite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"polished, granite, slab"
Polished Granite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"polished, stairs, granite"
Tuff,6.0,1.5,Pickaxe,True,False,False,False,False,tuff
Tuff Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"tuff, slab"
Tuff Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"stairs, tuff"
Tuff Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"tuff, wall"
Chiseled Tuff,6.0,1.5,Pickaxe,True,False,False,False,False,"tuff, chiseled"
Polished Tuff,6.0,1.5,Pickaxe,True,False,False,False,False,"polished, tuff"
Polished Tuff Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"polished, tuff, slab"
Polished Tuff Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"polished, tuff, stairs"
Polished Tuff Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"polished, tuff, wall"
Tuff Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"tuff, bricks"
Tuff Brick Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"tuff, brick, slab"
Tuff Brick Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"stairs, tuff, brick"
Tuff Brick Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"tuff, brick, wall"
Chiseled Tuff Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"bricks, tuff, chiseled"
Calcite,0.75,0.75,Pickaxe,True,False,False,False,False,calcite
Dripstone Block,1.0,1.5,Pickaxe,True,False,False,False,False,"rock, solid, gray, block, dripstone"
Pointed Dripstone,3.0,1.5,Pickaxe,False,True,False,False,True,"rock, solid, gray, block, pointed, dripstone"
Dirt,0.5,0.5,Shovel,True,False,False,False,False,"block, dirt, brown"
Grass,0.6,0.6,Shovel,True,False,False,False,True,"green, plant, grass, natural, block"
Mycelium,0.6,0.6,Shovel,True,False,False,False,True,mycelium
Podzol,0.5,0.5,Shovel,True,False,False,False,True,podzol
Coarse Dirt,0.5,0.5,Shovel,True,False,False,False,False,"block, dirt, coarse, brown"
Rooted Dirt,0.5,0.5,Shovel,True,False,False,False,False,"block, dirt, rooted, brown"
Dirt Path,0.65,0.65,Shovel,True,False,False,False,False,"path, block, dirt, brown"
Farmland,0.6,0.6,Shovel,True,False,False,False,True,farmland
Oak Log,2.0,2.0,Axe,True,False,True,True,True,"log, oak"
Oak Wood,2.0,2.0,Axe,True,False,True,True,True,"wooden, brown, block, wood, oak"
Stripped Oak Log,2.0,2.0,Axe,True,False,True,True,True,"stripped, log, oak"
Stripped Oak Wood,2.0,2.0,Axe,True,False,True,True,True,"wooden, brown, stripped, block, wood, oak"
Oak Planks,3.0,2.0,Axe,True,False,True,True,False,"planks, oak"
Oak Slab,3.0,2.0,Axe,True,False,True,True,True,"oak, slab"
Oak Stairs,3.0,2.0,Axe,False,False,True,True,True,"stairs, oak"
Oak Fence,3.0,2.0,Axe,False,False,True,True,True,"fence, oak"
