Entity Name,Version Added,Order Added,Creative Only,OP Only,Commands Only,Renewable
Player,Pre-Classic Cave Game Tech Test,1,FALSE,FALSE,FALSE,TRUE
Chicken,Alpha v1.0.14,18,FALSE,FALSE,FALSE,TRUE
Pig,Classic 0.24 Survival Test,2,FALSE,FALSE,FALSE,TRUE
Goat,1.17 21w13a,117,FALSE,FALSE,FALSE,TRUE
Sheep,Classic 0.28,10,FALSE,FALSE,FALSE,TRUE
Cow,Alpha v1.0.8,16,FALSE,FALSE,FALSE,TRUE
Mooshroom,1.0.0 Beta 1.9 Prerelease,33,FALSE,FALSE,FALSE,TRUE
Horse,1.6.1 13w16a,60,FALSE,FALSE,FALSE,TRUE
Donkey,1.6.1 13w16a,61,FALSE,FALSE,FALSE,TRUE
Mule,1.6.1 13w16a,62,FALSE,FALSE,FALSE,TRUE
Skeleton Horse,1.6.1 13w16a,63,FALSE,FALSE,FALSE,TRUE
Zombie Horse,1.6.1 13w16a,64,TRUE,FALSE,FALSE,FALSE
Llama,1.11 16w39a,85,FALSE,FALSE,FALSE,TRUE
Trader Llama,1.14 19w05a,105,FALSE,FALSE,FALSE,TRUE
Camel,1.20 Experimental 22w42a,131,FALSE,FALSE,FALSE,TRUE
Armadillo,1.20.5 23w51a,141,FALSE,FALSE,FALSE,TRUE
Rabbit,1.8 14w27a,70,FALSE,FALSE,FALSE,TRUE
Fox,1.14 19w07a,107,FALSE,FALSE,FALSE,TRUE
Ocelot,1.2.1 12w04a,45,FALSE,FALSE,FALSE,TRUE
Cat,1.2.1 12w04a,46,FALSE,FALSE,FALSE,TRUE
Wolf,Beta 1.4,27,FALSE,FALSE,FALSE,TRUE
Polar Bear,1.10 16w20a,82,FALSE,FALSE,FALSE,TRUE
Panda,1.14 18w43a,102,FALSE,FALSE,FALSE,TRUE
Sniffer,1.20 Experimental 23w07a,137,FALSE,FALSE,FALSE,TRUE
Turtle,1.13 18w07a,93,FALSE,FALSE,FALSE,TRUE
Frog,1.19 22w11a,120,FALSE,FALSE,FALSE,TRUE
Tadpole,1.19 22w11a,121,FALSE,FALSE,FALSE,TRUE
Axolotl,1.17 20w51a,114,FALSE,FALSE,FALSE,TRUE
Dolphin,1.13 18w15a,101,FALSE,FALSE,FALSE,TRUE
Cod,1.13 18w08b,96,FALSE,FALSE,FALSE,TRUE
Salmon,1.13 18w08b,97,FALSE,FALSE,FALSE,TRUE
Tropical Fish,1.13 18w10a,99,FALSE,FALSE,FALSE,TRUE
Pufferfish,1.13 18w08b,98,FALSE,FALSE,FALSE,TRUE
Squid,Beta 1.2,26,FALSE,FALSE,FALSE,TRUE
Glow Squid,1.17 21w03a,115,FALSE,FALSE,FALSE,TRUE
Bee,1.15 19w34a,108,FALSE,FALSE,FALSE,TRUE
Parrot,1.12 17w13a,91,FALSE,FALSE,FALSE,TRUE
Bat,1.4.2 12w38a,54,FALSE,FALSE,FALSE,TRUE
Allay,1.19 22w13a,130,FALSE,FALSE,FALSE,TRUE
Snow Golem,1.0.0 Beta 1.9 Prerelease,34,FALSE,FALSE,FALSE,TRUE
Iron Golem,1.2.1 12w08a,48,FALSE,FALSE,FALSE,TRUE
Villager,1.0.0 Beta 1.9 Prerelease,35,FALSE,FALSE,FALSE,TRUE
Wandering Trader,1.14 19w05a,106,FALSE,FALSE,FALSE,TRUE
Zombie,Classic 0.24 Survival Test,3,FALSE,FALSE,FALSE,TRUE
Zombie Villager,1.4.2 12w32a,49,FALSE,FALSE,FALSE,TRUE
Husk,1.10 16w20a,83,FALSE,FALSE,FALSE,TRUE
Drowned,1.13 18w11a,100,FALSE,FALSE,FALSE,TRUE
Giant,Indev 0.31 20100205,11,TRUE,TRUE,TRUE,FALSE
Skeleton,Classic 0.24 Survival Test,4,FALSE,FALSE,FALSE,TRUE
Stray,1.10 16w20a,84,FALSE,FALSE,FALSE,TRUE
