Item Properties_Item Name,Item Properties_Can Have Enchantments,Item Properties_Used In Crafting,Item Properties_Obtainable From Crafting,"Item Properties_Has A Unique ""Use"" Function",Can Be Cooked_Furnace,Can Be Cooked_Smoker/Campfire,Can Be Cooked_Blast Furnace,Rarity_Common,Rarity_Uncommon,Rarity_Rare,Rarity_Epic,Keywords
Air,False,False,False,False,False,False,False,False,True,False,False,air
Cobblestone,False,False,True,False,True,False,False,True,True,False,False,"solid, gray, cobblestone, rock"
Cobblestone Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, cobblestone, gray, rock, solid"
Cobblestone Stairs,False,False,False,True,False,False,False,True,True,False,False,"cobblestone, gray, rock, stairs, solid"
Cobblestone Wall,False,False,False,True,False,False,False,True,True,False,False,"cobblestone, gray, rock, solid, wall"
Infested Cobblestone,False,False,False,False,False,False,False,True,True,False,False,"cobblestone, infested, gray, rock, solid"
Mossy Cobblestone,False,False,True,True,False,False,False,True,True,False,False,"cobblestone, gray, rock, solid, mossy"
Mossy Cobblestone Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, cobblestone, gray, rock, solid, mossy"
Mossy Cobblestone Stairs,False,False,False,True,False,False,False,True,True,False,False,"cobblestone, gray, rock, solid, stairs, mossy"
Mossy Cobblestone Wall,False,False,False,True,False,False,False,True,True,False,False,"cobblestone, gray, rock, solid, mossy, wall"
Stone,False,False,True,False,True,False,False,True,True,False,False,"solid, gray, stone, rock"
Stone Slab,False,False,True,True,False,False,False,True,True,False,False,"slab, stone, gray, rock, solid"
Stone Stairs,False,False,False,True,False,False,False,True,True,False,False,"stone, gray, rock, stairs, solid"
Infested Stone,False,False,False,True,False,False,False,True,True,False,False,"stone, infested, gray, rock, solid"
Smooth Stone,False,False,True,False,False,False,False,True,True,False,False,"smooth, stone, gray, rock, solid"
Smooth Stone Slab,False,False,True,True,False,False,False,True,True,False,False,"smooth, slab, stone, gray, rock, solid"
Stone Bricks,False,False,True,True,True,False,False,True,True,False,False,"stone, gray, rock, bricks, solid"
Stone Brick Slab,False,False,True,True,False,False,False,True,True,False,False,"slab, brick, stone, gray, rock, solid"
Stone Brick Stairs,False,False,False,True,False,False,False,True,True,False,False,"brick, stone, gray, rock, stairs, solid"
Stone Brick Wall,False,False,False,True,False,False,False,True,True,False,False,"brick, stone, gray, rock, solid, wall"
Infested Stone Bricks,False,False,False,False,False,False,False,True,True,False,False,"stone, infested, gray, rock, bricks, solid"
Cracked Stone Bricks,False,False,False,False,False,False,False,True,True,False,False,"stone, gray, rock, bricks, cracked, solid"
Infested Cracked Stone Bricks,False,False,False,False,False,False,False,True,True,False,False,"stone, infested, gray, bricks, rock, cracked, solid"
Chiseled Stone Bricks,False,False,True,True,False,False,False,True,True,False,False,"stone, chiseled, gray, rock, bricks, solid"
Infested Chiseled Stone Bricks,False,False,False,False,False,False,False,True,True,False,False,"stone, chiseled, infested, gray, bricks, rock, solid"
Mossy Stone Bricks,False,False,True,True,False,False,False,True,True,False,False,"stone, gray, rock, bricks, solid, mossy"
Mossy Stone Brick Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, brick, stone, gray, rock, solid, mossy"
Mossy Stone Brick Stairs,False,False,False,True,False,False,False,True,True,False,False,"brick, stone, gray, rock, solid, stairs, mossy"
Mossy Stone Brick Wall,False,False,False,True,False,False,False,True,True,False,False,"brick, stone, gray, rock, solid, mossy, wall"
Infested Mossy Stone Bricks,False,False,False,False,False,False,False,True,True,False,False,"stone, infested, gray, bricks, rock, solid, mossy"
Stone Pressure Plate,False,False,True,True,False,False,False,True,True,False,False,"stone, gray, rock, solid, pressure, plate"
Stone Button,False,False,False,True,False,False,False,True,True,False,False,"stone, button, gray, rock, solid"
Deepslate,False,False,False,False,False,False,False,True,True,False,False,deepslate
Cobbled Deepslate,False,False,True,False,True,False,False,True,True,False,False,"cobbled, deepslate"
Cobbled Deepslate Slab,False,False,True,True,False,False,False,True,True,False,False,"cobbled, deepslate, slab"
Cobbled Deepslate Stairs,False,False,False,True,False,False,False,True,True,False,False,"cobbled, deepslate, stairs"
Cobbled Deepslate Wall,False,False,False,True,False,False,False,True,True,False,False,"cobbled, deepslate, wall"
Infested Deepslate,False,False,False,False,False,False,False,True,True,False,False,"infested, deepslate"
Polished Deepslate,False,False,True,True,False,False,False,True,True,False,False,"deepslate, polished"
Polished Deepslate Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, deepslate, polished"
Polished Deepslate Stairs,False,False,False,True,False,False,False,True,True,False,False,"deepslate, polished, stairs"
Polished Deepslate Wall,False,False,False,True,False,False,False,True,True,False,False,"deepslate, polished, wall"
Deepslate Bricks,False,False,True,True,True,False,False,True,True,False,False,"deepslate, bricks"
Deepslate Brick Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, deepslate, brick"
Deepslate Brick Stairs,False,False,False,True,False,False,False,True,True,False,False,"deepslate, stairs, brick"
Deepslate Brick Wall,False,False,False,True,False,False,False,True,True,False,False,"deepslate, brick, wall"
Cracked Deepslate Bricks,False,False,False,False,False,False,False,True,True,False,False,"cracked, deepslate, bricks"
Deepslate Tiles,False,False,True,True,True,False,False,True,True,False,False,"deepslate, tiles"
Deepslate Tile Slab,False,False,False,True,False,False,False,True,True,False,False,"tile, slab, deepslate"
Deepslate Tile Stairs,False,False,False,True,False,False,False,True,True,False,False,"tile, deepslate, stairs"
Deepslate Tile Wall,False,False,False,True,False,False,False,True,True,False,False,"tile, deepslate, wall"
Cracked Deepslate Tiles,False,False,False,False,False,False,False,True,True,False,False,"cracked, deepslate, tiles"
Chiseled Deepslate,False,False,False,True,False,False,False,True,True,False,False,"deepslate, chiseled"
Reinforced Deepslate,False,False,False,False,False,False,False,True,True,False,False,"reinforced, deepslate"
Diorite,False,False,True,True,False,False,False,True,True,False,False,diorite
Diorite Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, diorite"
Diorite Stairs,False,False,False,True,False,False,False,True,True,False,False,"diorite, stairs"
Diorite Wall,False,False,False,True,False,False,False,True,True,False,False,"diorite, wall"
Polished Diorite,False,False,True,True,False,False,False,True,True,False,False,"diorite, polished"
Polished Diorite Slab,False,False,False,True,False,False,False,True,True,False,False,"diorite, slab, polished"
Polished Diorite Stairs,False,False,False,True,False,False,False,True,True,False,False,"diorite, polished, stairs"
Andesite,False,False,True,True,False,False,False,True,True,False,False,andesite
Andesite Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, andesite"
Andesite Stairs,False,False,False,True,False,False,False,True,True,False,False,"andesite, stairs"
Andesite Wall,False,False,False,True,False,False,False,True,True,False,False,"andesite, wall"
Polished Andesite,False,False,True,True,False,False,False,True,True,False,False,"andesite, polished"
Polished Andesite Slab,False,False,False,True,False,False,False,True,True,False,False,"andesite, slab, polished"
Polished Andesite Stairs,False,False,False,True,False,False,False,True,True,False,False,"andesite, polished, stairs"
Granite,False,False,True,True,False,False,False,True,True,False,False,granite
Granite Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, granite"
Granite Stairs,False,False,False,True,False,False,False,True,True,False,False,"granite, stairs"
Granite Wall,False,False,False,True,False,False,False,True,True,False,False,"granite, wall"
Polished Granite,False,False,True,True,False,False,False,True,True,False,False,"granite, polished"
Polished Granite Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, granite, polished"
Polished Granite Stairs,False,False,False,True,False,False,False,True,True,False,False,"granite, polished, stairs"
Tuff,False,False,False,False,False,False,False,True,True,False,False,tuff
Tuff Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, tuff"
Tuff Stairs,False,False,False,True,False,False,False,True,True,False,False,"tuff, stairs"
Tuff Wall,False,False,False,True,False,False,False,True,True,False,False,"tuff, wall"
Chiseled Tuff,False,False,False,True,False,False,False,True,True,False,False,"tuff, chiseled"
Polished Tuff,False,False,False,True,False,False,False,True,True,False,False,"tuff, polished"
Polished Tuff Slab,False,False,False,True,False,False,False,True,True,False,False,"tuff, polished, slab"
Polished Tuff Stairs,False,False,False,True,False,False,False,True,True,False,False,"tuff, polished, stairs"
Polished Tuff Wall,False,False,False,True,False,False,False,True,True,False,False,"tuff, polished, wall"
Tuff Bricks,False,False,False,True,False,False,False,True,True,False,False,"tuff, bricks"
Tuff Brick Slab,False,False,False,True,False,False,False,True,True,False,False,"slab, brick, tuff"
Tuff Brick Stairs,False,False,False,True,False,False,False,True,True,False,False,"brick, tuff, stairs"
Tuff Brick Wall,False,False,False,True,False,False,False,True,True,False,False,"brick, tuff, wall"
Chiseled Tuff Bricks,False,False,False,True,False,False,False,True,True,False,False,"tuff, bricks, chiseled"
Calcite,False,False,False,False,False,False,False,True,True,False,False,calcite
Dripstone Block,False,False,False,True,False,False,False,True,True,False,False,"dripstone, gray, rock, solid, block"
Pointed Dripstone,False,False,True,False,False,False,False,True,True,False,False,"pointed, dripstone, gray, rock, solid"
Dirt,True,False,True,False,False,False,False,True,True,False,False,"brown, block, dirt"
Grass Block,True,False,False,False,False,False,False,True,True,False,False,"green, natural, grass, plant, block"
Mycelium,True,False,False,False,False,False,False,True,True,False,False,mycelium
Podzol,False,False,False,False,False,False,False,True,True,False,False,podzol
Coarse Dirt,True,False,False,True,False,False,False,True,True,False,False,"brown, block, dirt, coarse"
Rooted Dirt,False,False,False,False,False,False,False,True,True,False,False,"brown, block, dirt, rooted"
Dirt Path,False,False,False,False,False,False,False,True,True,False,False,"brown, block, dirt, path"
Farmland,False,False,False,False,False,False,False,True,True,False,False,farmland
Oak Log,False,False,True,False,True,False,False,True,True,False,False,"log, oak"
Oak Wood,False,False,True,True,True,False,False,True,True,False,False,"brown, wooden, oak, wood"
Stripped Oak Log,True,False,True,False,True,False,False,True,True,False,False,"log, oak, stripped"
Stripped Oak Wood,True,False,True,True,True,False,False,True,True,False,False,"brown, stripped, wooden, oak, wood"
Oak Planks,False,False,True,True,False,False,False,True,True,False,False,"planks, oak"
Oak Slab,False,False,True,True,False,False,False,True,True,False,False,"slab, oak"
Oak Stairs,False,False,False,True,False,False,False,True,True,False,False,"oak, stairs"
Oak Fence,False,False,False,True,False,False,False,True,True,False,False,"fence, oak"
Oak Fence Gate,False,False,False,True,False,False,False,True,True,False,False,"fence, gate, oak"
Oak Door,False,False,False,True,False,False,False,True,True,False,False,"oak, door"
Oak Trapdoor,False,False,False,True,False,False,False,True,True,False,False,"oak, trapdoor"
Oak Sign,False,False,False,True,False,False,False,True,True,False,False,"oak, sign"
Oak Hanging Sign,False,False,False,True,False,False,False,True,True,False,False,"hanging, oak, sign"
Oak Pressure Plate,False,False,False,True,False,False,False,True,True,False,False,"pressure, oak, plate"
Oak Button,False,False,False,True,False,False,False,True,True,False,False,"oak, button"
Oak Boat,False,False,True,True,False,False,False,True,True,False,False,"boat, oak"
Oak Boat With Chest,False,False,False,True,False,False,False,True,True,False,False,"boat, chest, oak, with"
Birch Log,True,False,True,False,True,False,False,True,True,False,False,"log, birch"
Birch Wood,True,False,True,True,True,False,False,True,True,False,False,"brown, wooden, birch, wood"
Stripped Birch Log,True,False,True,False,True,False,False,True,True,False,False,"log, birch, stripped"
Stripped Birch Wood,True,False,True,True,True,False,False,True,True,False,False,"brown, stripped, wooden, birch, wood"
Birch Planks,True,False,True,True,False,False,False,True,True,False,False,"planks, birch"
Birch Slab,True,False,True,True,False,False,False,True,True,False,False,"slab, birch"
Birch Stairs,True,False,False,True,False,False,False,True,True,False,False,"stairs, birch"
Birch Fence,True,False,False,True,False,False,False,True,True,False,False,"fence, birch"
Birch Fence Gate,True,False,False,True,False,False,False,True,True,False,False,"gate, fence, birch"
Birch Door,True,False,False,True,False,False,False,True,True,False,False,"birch, door"
Birch Trapdoor,True,False,False,True,False,False,False,True,True,False,False,"trapdoor, birch"
Birch Sign,True,False,False,True,False,False,False,True,True,False,False,"sign, birch"
Birch Hanging Sign,True,False,False,True,False,False,False,True,True,False,False,"hanging, sign, birch"
Birch Pressure Plate,True,False,False,True,False,False,False,True,True,False,False,"pressure, plate, birch"
Birch Button,True,False,False,True,False,False,False,True,True,False,False,"button, birch"
Birch Boat,True,False,True,True,False,False,False,True,True,False,False,"boat, birch"
Birch Boat With Chest,True,False,False,True,False,False,False,True,True,False,False,"boat, chest, with, birch"
Spruce Log,True,False,True,False,True,False,False,True,True,False,False,"spruce, log"
Spruce Wood,True,False,True,True,True,False,False,True,True,False,False,"spruce, brown, wooden, wood"
Stripped Spruce Log,True,False,True,False,True,False,False,True,True,False,False,"spruce, log, stripped"
Stripped Spruce Wood,True,False,True,True,True,False,False,True,True,False,False,"brown, stripped, wooden, spruce, wood"
Spruce Planks,True,False,True,True,False,False,False,True,True,False,False,"spruce, planks"
Spruce Slab,True,False,True,True,False,False,False,True,True,False,False,"spruce, slab"
