,,,,,,,,,
Block,Block Name,Blast Resistance,Hardness,Mining Tool,Can Suffocate,Obeys Gravity,Flammable,Catches Fire From Lava,Can Change Block State
,,,,,,,,,
1060,,,,,450/1060,27/1060,173/1060,301/1060,688/1060
,Air,0,0,None,FALSE,FALSE,FALSE,FALSE,FALSE
,Cave Air,0,0,None,FALSE,FALSE,FALSE,FALSE,FALSE
,Void Air,0,0,None,FALSE,FALSE,FALSE,FALSE,FALSE
,Cobblestone,6,2,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Cobblestone Slab,6,2,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Cobblstone Stairs,6,2,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Cobblestone Wall,6,2,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Infested Cobblestone,0.75,1,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Mossy Cobblestone,6,2,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Mossy Cobblestone Slab,6,2,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Mossy Cobblestone Stairs,6,2,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Mossy Cobblestone Wall,6,2,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Stone,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Stone Slab,6,2,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Stone Stairs,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Infested Stone,0.75,0.75,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Smooth Stone,6,2,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Smooth Stone Slab,6,2,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Stone Bricks,6,1.5,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
,Stone Brick Slab,6,2,Pickaxe,TRUE,FALSE,FALSE,FALSE,TRUE
,Stone Brick Stairs,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Stone Brick Wall,6,1.5,Pickaxe,FALSE,FALSE,FALSE,FALSE,TRUE
,Infested Stone Bricks,0.75,0.75,Pickaxe,TRUE,FALSE,FALSE,FALSE,FALSE
