,,,,,,,
Effect,Effect Name,Version Added,Order Added,Creative Only,Commands Only,Obtainable Through Potions,
,,,,,,,
39,,,,3/39,2/39,19/39,0
,Instant Health,Beta 1.8 Pre-Release,1,FALSE,FALSE,TRUE,1
,Instant Damage,Beta 1.8 Pre-Release,2,FALSE,FALSE,TRUE,2
,Regeneration,Beta 1.8 Pre-Release,3,FALSE,FALSE,TRUE,3
,Poison,Beta 1.8 Pre-Release,4,FALSE,FALSE,TRUE,4
,Health Boost,1.6.1 13w23b,22,TRUE,TRUE,FALSE,5
,Absorption,1.6.1 13w24b,23,FALSE,FALSE,FALSE,6
,Wither,1.4.2 12w34a,20,FALSE,FALSE,FALSE,7
,Saturation,1.6.1,21,FALSE,FALSE,FALSE,8
,Hunger,Beta 1.8 Pre-Release,5,FALSE,FALSE,FALSE,9
,Strength,Beta 1.8 Pre-Release,6,FALSE,FALSE,TRUE,10
,Weakness,Beta 1.8 Pre-Release,7,FALSE,FALSE,TRUE,11
,Haste,Beta 1.8 Pre-Release,8,FALSE,FALSE,FALSE,12
,Mining Fatigue,Beta 1.8 Pre-Release,9,FALSE,FALSE,FALSE,13
,Speed,Beta 1.8 Pre-Release,10,FALSE,FALSE,TRUE,14
,Slowness,Beta 1.8 Pre-Release,11,FALSE,FALSE,TRUE,15
,Jump Boost,Beta 1.8 Pre-Release,12,FALSE,FALSE,TRUE,16
,Levitation,1.9 16w31a,27,FALSE,FALSE,FALSE,17
,Slow Falling,1.13 18w14a,28,FALSE,FALSE,TRUE,18
,Luck,1.9 15w44b,25,TRUE,FALSE,FALSE,19
,Bad Luck,1.9 15w44b,26,TRUE,TRUE,FALSE,20
,Glowing,1.9 15w31a,24,FALSE,FALSE,FALSE,21
,Invisibility,Beta 1.8 Pre-Release,13,FALSE,FALSE,TRUE,22
,Night Vision,Beta 1.8 Pre-Release,14,FALSE,FALSE,TRUE,23
,Blindness,Beta 1.8 Pre-Release,15,FALSE,FALSE,FALSE,24
,Darkness,1.19 Experimental Snapshot 1,33,FALSE,FALSE,FALSE,25
,Nausea,Beta 1.8 Pre-Release,16,FALSE,FALSE,FALSE,26
,Conduit Power,1.13 18w15a,29,FALSE,FALSE,FALSE,27
,Dolphin's Grace,1.13 18w19a,30,FALSE,FALSE,FALSE,28
,Water Breathing,Beta 1.8 Pre-Release,17,FALSE,FALSE,TRUE,29
,Fire Resistance,Beta 1.8 Pre-Release,18,FALSE,FALSE,TRUE,30
,Resistance,Beta 1.8 Pre-Release,19,FALSE,FALSE,TRUE,31
,Hero Of The Village,1.14 19w13a,32,FALSE,FALSE,FALSE,32
,Bad Omen,1.14 18w47a,31,FALSE,FALSE,FALSE,33
,Raid Omen,1.21 Experimental 24w13a,34,FALSE,FALSE,FALSE,34
,Trial Omen,1.21 Experimental 24w13a,35,FALSE,FALSE,FALSE,35
,Infested,1.21 Experimental 24w13a,36,FALSE,FALSE,TRUE,36
,Oozing,1.21 Experimental 24w13a,37,FALSE,FALSE,TRUE,37
,Weaving,1.21 Experimental 24w13a,38,FALSE,FALSE,TRUE,38
,Wind Charged,1.21 Experimental 24w13a,39,FALSE,FALSE,TRUE,39
