,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Item Name,Resource Location,Creative Only,OP Only,Commands Only,Max Stack,Renewable,Infinitely Automatically Farmable,,Has a Direct Block Form,Has a Direct Entity Form,Durability,Fuel Time,XP From Cooking,Enchantability,Mining Speed Multiplier,Mining Level,Melee Attack Damage,Melee Attack Speed,Defence,Toughness,Knockback Resistance,Wearable,Edible,Can be Eaten with Full Hunger,Hunger Filled,Saturation Filled,Fire Resistant,Blast Resistant,Lures Entites When Held,Unique Dispenser Interaction,Can be Used in an Enchanting Table,Sold by Villagers,Sold to Villagers,Sold by Wandering Traders,Can Have Enchantments,Used In Crafting,Obtainable From Crafting,Can Repair Gear,Can Be Cooked,,,Obtainable From Cooking,"Has A Unique ""Use"" Function",Rarity,,,,Seperate Item Icon,Has Data Components,
,,,,,,,,Any Method,Player Interactions Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Furnace,Smoker/Campfire,Blast Furnace,,,Common,Uncommon,Rare,Epic,,,
1746,,,188/1746,42/1746,13/1746,,1397/1746,1277/1746,497/1746,941/1746,235/1746,,,,,,,,,,,,34/1746,97/1746,62/1746,,,13/1746,1/1746,48/1746,347/1746,61/1746,339/1746,74/1746,70/1746,202/1746,631/1746,898/1746,22/1746,124/1746,9/1746,46/1746,58/1746,1581/1746,1487/1746,211/1746,16/1746,32/1746,247/1746,395/1746,0
,Air,air,TRUE,TRUE,TRUE,N/A,FALSE,FALSE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
,Cobblestone,cobblestone,FALSE,FALSE,FALSE,64,TRUE,TRUE,FALSE,TRUE,FALSE,N/A,N/A,0.1,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
,Cobblestone Slab,cobblestone_slab,FALSE,FALSE,FALSE,64,TRUE,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3
,Cobblestone Stairs,cobblestone_stairs,FALSE,FALSE,FALSE,64,TRUE,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
,Cobblestone Wall,cobblestone_wall,FALSE,FALSE,FALSE,64,TRUE,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
,Infested Cobblestone,infested_cobblestone,TRUE,FALSE,FALSE,64,FALSE,FALSE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
,Mossy Cobblestone,mossy_cobblestone,FALSE,FALSE,FALSE,64,TRUE,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7
,Mossy Cobblestone Slab,mossy_cobblestone_slab,FALSE,FALSE,FALSE,64,TRUE,TRUE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8
