Block Name,Blast Resistance,Hardness,Mining Tool,Can Suffocate,Obeys Gravity,Flammable,Catches Fire From Lava,Can Change Block State,Keywords
Mossy Cobblestone Stairs,6.0,2.0,Pickaxe,False,False,False,False,True,"solid, block, rock, mossy, cobblestone, gray, stairs"
Mossy Cobblestone Wall,6.0,2.0,Pickaxe,False,False,False,False,True,"solid, block, rock, mossy, cobblestone, wall, gray"
Stone,6.0,1.5,Pickaxe,True,False,False,False,False,"stone, solid, block, rock, gray"
Stone Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"stone, slab, solid, block, rock, gray"
Stone Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"stone, solid, block, rock, gray, stairs"
Infested Stone,0.75,0.75,Pickaxe,True,False,False,False,False,"stone, solid, block, rock, infested, gray"
Smooth Stone,6.0,2.0,Pickaxe,True,False,False,False,False,"stone, solid, block, smooth, rock, gray"
Smooth Stone Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"stone, slab, solid, block, smooth, rock, gray"
Stone Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"stone, solid, block, rock, bricks, gray"
Stone Brick Slab,6.0,2.0,Pickaxe,True,False,False,False,True,"stone, slab, brick, solid, block, rock, gray"
Stone Brick Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"stone, brick, solid, block, rock, gray, stairs"
Stone Brick Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"stone, brick, solid, block, rock, wall, gray"
Infested Stone Bricks,0.75,0.75,Pickaxe,True,False,False,False,False,"stone, solid, block, rock, infested, bricks, gray"
Cracked Stone Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"stone, solid, block, cracked, rock, bricks, gray"
Infested Cracked Stone Bricks,0.75,0.75,Pickaxe,True,False,False,False,False,"stone, solid, block, cracked, rock, infested, bricks, gray"
Chiseled Stone Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"stone, chiseled, solid, block, rock, bricks, gray"
Infested Chiseled Stone Bricks,0.75,0.75,Pickaxe,True,False,False,False,False,"stone, chiseled, solid, block, rock, infested, bricks, gray"
Mossy Stone Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"stone, solid, block, rock, mossy, bricks, gray"
Mossy Stone Brick Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"stone, slab, brick, solid, block, rock, mossy, gray"
Mossy Stone Brick Stair,6.0,1.5,Pickaxe,False,False,False,False,True,"stone, brick, solid, block, rock, stair, mossy, gray"
Mossy Stone Brick Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"stone, brick, solid, block, rock, mossy, wall, gray"
Infested Mossy Stone Bricks,0.75,0.75,Pickaxe,True,False,False,False,False,"stone, solid, block, rock, infested, mossy, bricks, gray"
Stone Pressure Plate,0.5,0.5,Pickaxe,False,False,False,False,True,"stone, pressure, solid, block, rock, plate, gray"
Stone Button,0.5,0.5,Pickaxe,False,False,False,False,True,"stone, solid, block, rock, button, gray"
Deepslate,6.0,3.0,Pickaxe,True,False,False,False,True,deepslate
Infested Deepslate,0.75,1.5,Pickaxe,True,False,False,False,True,"deepslate, infested"
Cobbled Deepslate,6.0,3.5,Pickaxe,True,False,False,False,False,"deepslate, cobbled"
Cobbled Deepslate Slab,6.0,3.5,Pickaxe,True,False,False,False,True,"deepslate, slab, cobbled"
Cobbled Deepslate Stairs,6.0,3.5,Pickaxe,False,False,False,False,True,"deepslate, cobbled, stairs"
Cobbled Deepslate Wall,6.0,3.5,Pickaxe,False,False,False,False,True,"deepslate, wall, cobbled"
Polished Deepslate,6.0,3.5,Pickaxe,True,False,False,False,False,"polished, deepslate"
Polished Deepslate Slab,6.0,3.5,Pickaxe,True,False,False,False,True,"polished, slab, deepslate"
Polished Deepslate Stairs,6.0,3.5,Pickaxe,False,False,False,False,True,"polished, deepslate, stairs"
Polished Deepslate Wall,6.0,3.5,Pickaxe,False,False,False,False,True,"polished, wall, deepslate"
Deepslate Bricks,6.0,3.5,Pickaxe,True,False,False,False,False,"deepslate, bricks"
Deepslate Brick Slab,6.0,3.5,Pickaxe,True,False,False,False,True,"deepslate, slab, brick"
Deepslate Brick Stairs,6.0,3.5,Pickaxe,False,False,False,False,True,"deepslate, brick, stairs"
Deepslate Brick Wall,6.0,3.5,Pickaxe,False,False,False,False,True,"deepslate, wall, brick"
Cracked Deepslate Bricks,6.0,3.5,Pickaxe,True,False,False,False,False,"deepslate, bricks, cracked"
Deepslate Tiles,6.0,3.5,Pickaxe,True,False,False,False,False,"deepslate, tiles"
Deepslate Tile Slab,6.0,3.5,Pickaxe,True,False,False,False,True,"deepslate, slab, tile"
Deepslate Tile Stairs,6.0,3.5,Pickaxe,False,False,False,False,True,"deepslate, stairs, tile"
Deepslate Tile Wall,6.0,3.5,Pickaxe,False,False,False,False,True,"deepslate, wall, tile"
Cracked Deepslate Tiles,6.0,3.5,Pickaxe,True,False,False,False,False,"deepslate, cracked, tiles"
Chiseled Deepslate,6.0,3.5,Pickaxe,True,False,False,False,False,"deepslate, chiseled"
Reinforced Deepslate,1200.0,55.0,Pickaxe,True,False,False,False,False,"deepslate, reinforced"
Diorite,6.0,1.5,Pickaxe,True,False,False,False,False,diorite
Diorite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"slab, diorite"
Diorite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"diorite, stairs"
Diorite Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"wall, diorite"
Polished Diorite,6.0,1.5,Pickaxe,True,False,False,False,False,"polished, diorite"
Polished Diorite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"polished, slab, diorite"
Polished Diorite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"polished, diorite, stairs"
Andesite,6.0,1.5,Pickaxe,True,False,False,False,False,andesite
Andesite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"slab, andesite"
Andesite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"andesite, stairs"
Andesite Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"wall, andesite"
Polished Andesite,6.0,1.5,Pickaxe,True,False,False,False,False,"polished, andesite"
Polished Andesite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"polished, slab, andesite"
Polished Andesite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"polished, andesite, stairs"
Granite,6.0,1.5,Pickaxe,True,False,False,False,False,granite
Granite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"granite, slab"
Granite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"granite, stairs"
Granite Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"granite, wall"
Polished Granite,6.0,1.5,Pickaxe,True,False,False,False,False,"polished, granite"
Polished Granite Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"polished, slab, granite"
Polished Granite Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"polished, granite, stairs"
Tuff,6.0,1.5,Pickaxe,True,False,False,False,False,tuff
Tuff Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"slab, tuff"
Tuff Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"stairs, tuff"
Tuff Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"wall, tuff"
Chiseled Tuff,6.0,1.5,Pickaxe,True,False,False,False,False,"chiseled, tuff"
Polished Tuff,6.0,1.5,Pickaxe,True,False,False,False,False,"polished, tuff"
Polished Tuff Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"polished, slab, tuff"
Polished Tuff Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"polished, stairs, tuff"
Polished Tuff Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"polished, wall, tuff"
Tuff Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"bricks, tuff"
Tuff Brick Slab,6.0,1.5,Pickaxe,True,False,False,False,True,"slab, brick, tuff"
Tuff Brick Stairs,6.0,1.5,Pickaxe,False,False,False,False,True,"stairs, brick, tuff"
Tuff Brick Wall,6.0,1.5,Pickaxe,False,False,False,False,True,"wall, brick, tuff"
Chiseled Tuff Bricks,6.0,1.5,Pickaxe,True,False,False,False,False,"chiseled, bricks, tuff"
Calcite,0.75,0.75,Pickaxe,True,False,False,False,False,calcite
Dripstone Block,1.0,1.5,Pickaxe,True,False,False,False,False,"solid, block, dripstone, rock, gray"
Pointed Dripstone,3.0,1.5,Pickaxe,False,True,False,False,True,"solid, block, dripstone, rock, pointed, gray"
Dirt,0.5,0.5,Shovel,True,False,False,False,False,dirt
Grass,0.6,0.6,Shovel,True,False,False,False,True,"grass, block, green, plant, natural"
Mycelium,0.6,0.6,Shovel,True,False,False,False,True,mycelium
Podzol,0.5,0.5,Shovel,True,False,False,False,True,podzol
Coarse Dirt,0.5,0.5,Shovel,True,False,False,False,False,"dirt, coarse"
Rooted Dirt,0.5,0.5,Shovel,True,False,False,False,False,"dirt, rooted"
Dirt Path,0.65,0.65,Shovel,True,False,False,False,False,"dirt, path"
Farmland,0.6,0.6,Shovel,True,False,False,False,True,farmland
Oak Log,2.0,2.0,Axe,True,False,True,True,True,"log, oak"
Oak Wood,2.0,2.0,Axe,True,False,True,True,True,"wood, block, brown, oak, wooden"
Stripped Oak Log,2.0,2.0,Axe,True,False,True,True,True,"stripped, log, oak"
Stripped Oak Wood,2.0,2.0,Axe,True,False,True,True,True,"stripped, wood, block, brown, oak, wooden"
Oak Planks,3.0,2.0,Axe,True,False,True,True,False,"oak, planks"
Oak Slab,3.0,2.0,Axe,True,False,True,True,True,"slab, oak"
Oak Stairs,3.0,2.0,Axe,False,False,True,True,True,"oak, stairs"
Oak Fence,3.0,2.0,Axe,False,False,True,True,True,"fence, oak"
Oak Fence Gate,3.0,2.0,Axe,False,False,True,True,True,"gate, fence, oak"
Oak Door,3.0,3.0,Axe,False,False,False,True,True,"door, oak"
Oak Trapdoor,3.0,3.0,Axe,False,False,False,True,True,"oak, trapdoor"
Oak Sign,1.0,1.0,Axe,False,False,False,True,True,"sign, oak"
Oak Wall Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, sign, oak"
Oak Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"hanging, oak, sign"
Oak Wall Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, hanging, oak, sign"
Oak Pressure Plate,0.5,0.5,Axe,False,False,False,True,True,"pressure, plate, oak"
Oak Button,0.5,0.5,Axe,False,False,False,False,True,"button, oak"
Birch Log,2.0,2.0,Axe,True,False,True,True,True,"log, birch"
Birch Wood,2.0,2.0,Axe,True,False,True,True,True,"birch, wood, block, brown, wooden"
Stripped Birch Log,2.0,2.0,Axe,True,False,True,True,True,"stripped, log, birch"
Stripped Birch Wood,2.0,2.0,Axe,True,False,True,True,True,"stripped, birch, wood, block, brown, wooden"
Birch Planks,3.0,2.0,Axe,True,False,True,True,False,"birch, planks"
Birch Slab,3.0,2.0,Axe,True,False,True,True,True,"slab, birch"
Birch Stairs,3.0,2.0,Axe,False,False,True,True,True,"birch, stairs"
Birch Fence,3.0,2.0,Axe,False,False,True,True,True,"birch, fence"
Birch Fence Gate,3.0,2.0,Axe,False,False,True,True,True,"gate, birch, fence"
Birch Door,3.0,3.0,Axe,False,False,False,True,True,"birch, door"
Birch Trapdoor,3.0,3.0,Axe,False,False,False,True,True,"birch, trapdoor"
Birch Sign,1.0,1.0,Axe,False,False,False,True,True,"sign, birch"
Birch Wall Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, sign, birch"
Birch Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"hanging, birch, sign"
Birch Wall Hanging Sign,1.0,1.0,Axe,False,False,False,True,True,"wall, hanging, birch, sign"
Birch Pressure Plate,0.5,0.5,Axe,False,False,False,True,True,"pressure, plate, birch"
Birch Button,0.5,0.5,Axe,False,False,False,False,True,"birch, button"
Spruce Log,2.0,2.0,Axe,True,False,True,True,True,"spruce, log"
Spruce Wood,2.0,2.0,Axe,True,False,True,True,True,"wood, block, brown, wooden, spruce"
Stripped Spruce Log,2.0,2.0,Axe,True,False,True,True,True,"stripped, spruce, log"
Stripped Spruce Wood,2.0,2.0,Axe,True,False,True,True,True,"stripped, wood, block, brown, wooden, spruce"
